"no"	"CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1058	80.14	77.96	70.45	74.79	79.41	64.36	64.52	71.33	73.6	64.0	62.6	0.14	80.25
1059	93.28	93.99	94.06	93.91	93.6	86.37	86.51	94.68	94.4	87.26	86.11	1.34	94.84
1061	68.35	68.45	64.55	62.38	67.25	64.18	61.59	68.64	69.01	66.52	61.99	20.82	68.54
1062	89.36	87.5	91.37	91.54	88.89	87.76	78.23	91.93	88.97	88.45	87.83	42.71	91.92
1063	90.97	92.46	89.62	92.83	92.31	90.85	74.63	89.22	90.11	84.71	85.27	1.48	93.83
1066	94.06	93.93	91.29	92.89	93.16	82.62	81.64	91.85	90.03	93.29	93.29	5.0e-2	94.4
1067	73.37	83.15	70.89	43.54	86.32	38.54	50.62	70.46	84.89	65.22	61.75	11.77	79.16
1068	82.21	80.19	80.72	79.09	83.68	76.29	75.16	87.14	85.91	74.18	75.67	29.76	81.94
1069	86.06	86.15	79.61	80.87	86.37	70.77	63.56	87.17	84.27	71.43	68.46	9.68	86.57
1070	87.22	87.89	84.3	84.83	84.27	83.27	77.38	87.54	86.57	86.25	87.64	13.51	89.57
1071	87.99	88.68	89.32	90.02	88.53	92.98	84.99	86.26	87.38	84.54	85.59	8.12	89.95
1072	91.74	92.43	85.69	91.79	91.21	89.26	73.84	88.51	89.16	89.06	84.14	0.16	93.48
1073	81.27	83.91	73.2	83.54	83.5	82.31	79.82	81.21	82.36	76.99	75.03	5.85	84.43
1076	78.5	73.63	61.45	64.94	67.84	55.81	49.66	73.59	73.33	60.69	66.98	9.28	73.92
1078	80.17	82.14	40.45	48.81	44.38	37.04	32.66	64.97	62.29	45.16	48.26	7.16	64.39
1082	80.78	79.83	73.64	77.71	79.98	81.19	64.94	73.24	72.54	76.02	67.71	26.26	75.22
1084	87.57	86.65	86.74	88.2	86.35	82.35	82.65	82.73	88.53	80.12	81.28	3.13	90.59
1086	80.43	79.77	85.18	84.24	85.08	80.72	77.96	87.43	87.89	86.87	86.59	12.97	88.47
1087	1.15	1.15	7.0e-2	92.65	92.48	0.15	0.15	1.81	1.81	2.13	2.13	9.01	1.15
1089	95.04	95.36	92.6	94.35	94.04	94.51	91.2	93.09	92.52	93.92	93.92	5.0e-2	95.99
1091	3.42	3.15	92.54	93.27	93.37	91.63	91.95	93.9	93.9	94.31	93.15	8.35	96.36
1094	2.29	2.29	88.77	93.41	94.12	86.51	86.64	91.85	92.13	94.47	94.47	8.34	94.97
1096	73.02	77.19	73.16	71.26	72.59	61.2	60.89	75.55	75.44	50.52	59.84	4.0e-2	78.41
1097	71.64	68.83	62.4	59.5	64.15	47.61	50.6	69.2	67.56	57.23	57.51	12.17	73.83
1098	81.75	80.8	73.16	73.21	74.35	64.48	71.3	78.23	78.22	65.53	60.39	9.83	83.77
1099	75.28	69.66	61.24	62.82	61.09	53.95	55.95	72.55	82.6	65.5	64.15	7.01	74.07
1100	75.41	73.02	61.32	71.94	67.73	75.22	50.64	70.95	69.05	59.13	59.73	1.8	75.04
1101	83.82	79.53	75.45	77.64	75.54	75.6	73.36	78.4	79.83	75.43	75.43	0.12	78.71
1102	36.32	53.04	50.88	50.55	51.98	51.93	28.61	46.55	39.8	63.95	62.36	8.0e-2	60.72
1103	91.42	93.56	92.14	91.9	92.59	87.46	62.89	93.67	89.98	93.75	94.63	5.55	94.44
1106	25.89	29.47	43.96	67.66	46.68	69.05	49.24	30.41	36.01	60.52	52.86	5.0e-2	37.92
1107	92.4	92.56	87.06	88.94	88.63	93.98	89.38	89.01	89.84	85.14	83.04	0.11	92.17
1110	80.53	83.27	78.26	81.33	80.28	85.07	25.37	80.1	77.73	76.37	19.61	5.46	85.26
1111	99.1	98.84	95.89	98.9	99.03	98.02	98.02	99.5	99.5	98.99	98.72	9.0e-2	99.04
