"ID"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1180	82.86895138810736	84.76578442648663	65.62734709536959	68.15783754639402	71.90060615085507	68.56701126156773	78.95894562932169	81.04149593077511	67.78157362846504	60.272967066540936	66.29656210188968	7.086090917514962e-2	78.92919018322063
1182	22.811452070982906	19.456329148616195	44.62518764890102	44.395809563127116	42.971593153697455	13.654878294493301	3.199346355137938	40.58066155440181	42.10415296708622	40.31496360748249	34.959426231178185	0.3623007282295191	50.3500176013415
1183	73.35881523545234	69.82664880745396	67.81637061021557	27.61749856117054	49.57685662557338	19.935438600906828	68.93170310818222	78.51288425480722	80.98260891343574	20.362058389441483	31.85934273903169	5.4269099178578604e-2	76.62265343035119
1186	53.4745648504798	54.82586565080889	41.84828385674643	49.39224520707438	53.600783993843805	43.09371548055216	40.889358349851626	48.6828495944477	58.53495566179272	46.82717510544074	46.26304770621281	1.519412176197686	56.63414427642033
1188	58.2702099724588	61.772200349594755	60.48936386411143	59.4143840865189	57.58070925168567	63.83448264861248	45.42216606658144	66.74876072541389	63.186220592521046	61.16919537187548	66.1566314265099	6.679336465718963	68.68174130023871
1190	73.6006608016189	75.62788192372476	68.08030083516627	78.04032856576144	74.02762924577317	81.43472173158784	66.80600981973315	80.68769628700292	75.63552771596902	79.98016950908033	78.3281926200469	12.797148778626827	81.05172784289498
1192	83.5821423246473	85.29982812761288	41.48521785108607	63.31277425389465	69.29467388707808	62.67598784903507	54.11593426097493	81.72253281250552	66.43696085433548	64.50806674425358	52.095440255282725	0.18231256392735326	85.75507280873059
1193	71.70596017431033	71.82675992094345	76.87794392857451	71.18493542787039	49.10404962124394	1.730446493536732	85.53416259922658	81.24557365198079	75.80996782371732	1.854140192647909	21.697005786394882	7.615114338523847e-2	79.97876710882807
1194	74.44982927294159	78.56803865937128	68.08676229613388	71.2220654153502	72.26025528048218	68.8675178261114	58.966184519980935	77.77844988576128	78.72458580259311	71.23664677797127	71.06037106543911	5.6863132895124874e-2	75.29480993543747
1197	68.03504270491898	62.18507850117025	51.401484259476995	44.70622592643254	53.90580160277699	32.44329142036978	42.00406241657532	56.35643755914445	59.58921642640734	37.20230609640698	36.708358383629935	6.372943971828873e-2	57.85711492659805
1200	61.9853788898754	62.01103077146396	50.265674083377185	56.5583990033665	61.848703579578846	66.13748621580277	52.236865168946046	57.38507393503285	56.40268687629336	47.273662126999746	48.59573853904781	1.0348033415610736	62.71377429814851
