"ID"	"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1301	0.11587974774705304	90.10010318905199	86.01147174814278	92.7340477679418	91.13993150212121	94.86094678356804	92.94785946730109	93.22507712380799	93.32493779641442	93.5800374435812	93.36808931240384	86.61998377406796	98.04709936817937	83.82341057995613	93.14910108785638	93.72380833902007
1302	9.481376361447993e-2	79.37232310884501	74.23215232626559	82.21161670290573	81.36349780333258	82.63622127354026	80.34116111464648	80.32514469217105	79.81602925458036	77.651016834967	81.36795870351149	73.43012166518334	93.5808684707364	72.07922538069093	83.63030975773205	84.8492561793803
1305	0.917500545570216	71.46853925312632	48.93568489968189	82.29151516391376	97.17333551730259	98.76159369927827	29.455269739910754	60.45279507805292	97.42084865618051	85.78665200950665	98.78012610238233	20.718620106400326	99.86206896551725	64.8894503101518	96.39130722508092	98.49473492164648
1306	5.6727144715927915	75.13732304046755	74.12427272049008	74.09110135329567	67.23386739759704	73.2734808196048	71.95814284875941	76.22581882756418	66.3095080585347	53.93801237581582	69.6636625591818	81.89964363029215	91.85520361990967	64.83432297482487	77.64858269318152	78.66638589297288
1309	16.028968360921585	47.97308640396202	46.74896767817407	52.06966981596081	60.834886772902365	71.092534416258	27.927646967811835	50.42597591237475	65.97725345271412	29.837899387803557	75.3132211240257	55.600355640072294	93.23540780827236	49.86492666560728	65.41166990444776	68.84092607000106
1310	2.5983765758256214	79.42712407358181	37.86525195230154	60.18867655354999	51.44184770263854	70.66344677515661	75.59220175187829	60.71657656465034	46.768948540077645	56.717305149466334	71.03117678758743	53.680895389510155	94.47388342165023	55.5101644671226	66.8514269077069	70.82515470145105
1311	2.5724316004751814e-2	90.54942431296816	90.62833463314124	92.44593410046609	91.89500499872966	90.9669330450771	79.31647297869748	90.39190491063258	92.35842098614008	91.04513580656729	91.34750860799005	89.0218258767855	93.7905468025944	82.56086827114444	91.24105253319904	91.61178532312739
1312	9.213667486313362	70.89703849263658	46.53951456193667	63.22635701365932	69.42105459517806	67.10357168227668	57.62412500276886	52.544986670568235	68.85090679040707	54.80190541104547	67.24715161635169	46.44529091006029	82.2613405551791	54.810854333305755	65.64043943462539	67.20131048479878
1313	8.367977309239691	72.3095751150831	66.94413372661148	70.68838318324427	71.94803727608368	72.31111893042663	72.86510020055536	70.79171362126984	72.25465318645479	72.72031368036072	71.65409311251072	69.00620052601626	80.35820895522401	66.94702085387735	73.98451607309464	75.12238508201159
1318	13.887247260091998	63.26272735098233	63.250369260553455	65.45515758944973	66.01121583307172	59.71029810673708	60.53436004377639	63.4216318301116	68.59318953402835	53.916080616250795	58.503325537121796	67.51799206638908	94.67248908296956	58.08840092861358	71.78798127353122	75.11851513586434
1319	18.7576917126805	43.94130521620608	45.20381200460123	55.83326370282013	59.68593380903956	75.09427317517319	54.79547517741362	60.68303665897309	65.21793310291072	50.172222173684546	76.27282318670193	60.68015242964964	89.81688253684685	55.735320040235045	66.86608015282778	70.83158608543398
1321	18.301570540183672	69.97097613990839	65.68722030906659	73.28377102965027	70.209808388364	76.93985541424955	64.82848237296702	71.73398097233434	73.00331066438396	71.60469234215319	74.22377878257367	62.72495232061374	86.13744075829428	66.61066617412297	74.7680055484593	75.95566108537177
1322	9.422306976461192e-2	57.647381563161105	22.358076496361623	59.70493142956626	67.72819934884375	26.288801311694566	50.75228177668354	49.88235963096365	56.069742448447734	54.67786835729685	56.36493618125604	35.246954366027026	86.06321839080455	43.783274285403486	67.03678489910388	69.59019914822704
1324	21.75935339654094	90.96018947880012	85.86496222465287	91.45156104924477	87.47799273328772	89.3688356988873	88.57715514166699	90.59811694394216	87.6009482439231	88.22243030112708	89.2034777851899	89.92688061439492	97.89562289562294	83.37533657878167	90.0201022997294	90.67689443539987
1327	5.923110876812494	26.418499978946663	29.92284236505478	62.733703716483355	89.53165488265901	53.52810116125741	59.30035078511293	34.70557526454941	68.96539173026174	57.06110177588596	83.49680262678993	36.9844452968488	97.90697674418605	52.2833408811814	74.33301365410323	79.52554737260847
1329	5.17606242338872	82.33361715101016	76.64004161364814	80.41255618941709	80.28082297693852	81.0546015971759	83.15105986306757	80.51653035105984	80.2658619132945	84.21224914835473	80.83953173144202	80.90621670799713	91.6974169741702	73.81937698214593	80.88522378766912	81.03966799774473
1330	15.161607701810473	71.99636908314929	72.23215238078024	83.35624296911267	83.78014924453787	83.81679961546412	76.35940238939833	82.99961279787632	81.30932706377479	69.64449786318045	85.06973070311561	83.74377868056811	96.42497482376625	72.98221728622542	84.53414301205665	85.92241436539051
1331	1.9563031562941275	83.34956810797868	82.37340997947625	90.8004476202566	90.3896809171415	86.36103080628779	61.4915479711584	89.20512213075659	87.64928519039003	85.00707286651192	86.50510044188194	76.57844135136655	99.21935987509757	76.56803681681434	92.47658757976366	94.8302975708356
