"ID"	"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1223	14.406755459116107	71.5886717532579	47.93093464275557	11.763109636393285	76.2967774122758	10.518461658217609	1.563136485116737	4.350051030327275	80.51302211586425	1.563136485116737	6.5143459864860604	37.389031796639784	91.72320217096328	30.70911020975786	21.021893258326354	43.205343396394724
1227	4.7599997182828595	55.28229353668763	66.0568790250084	56.19070482342984	74.43973214376413	59.35606915353774	44.46305059797195	57.05822208797462	63.79105695713184	51.69343744531454	77.14502101733896	51.774019143320395	93.31265081006586	55.450344968233665	64.85945917377813	69.5428259835631
1232	9.212787440104242	60.89583144587015	52.9168595298111	62.65158652947701	64.73624549445667	54.179715354937066	65.63262136728164	64.34341461614686	62.17093059306325	65.42271120745707	56.74394768506793	64.61141060459457	78.03521779425408	56.716218569205566	66.7010935524186	69.02522585149947
1234	7.64381247555921	72.52500464369528	65.1085855106194	78.80683264258599	76.87752447889353	80.83051931434696	77.02130243335526	79.45059194771518	80.70086985659896	75.93344474095153	79.99958377593117	68.48160676253322	88.0078125000003	69.19665115412944	80.13735818628163	81.06853136351671
1235	1.5092370441984515	91.12596363063304	91.96133245218374	95.28602695265177	94.54260250769796	96.20978888064691	94.91814681345154	96.69955689339662	94.54260250769796	93.981426421809	96.39290894761682	82.94902749137101	98.94736842105257	86.08874762550816	96.15041240934808	96.56113493998232
1237	13.860659123128688	82.1067708405701	85.04625488908421	83.48221659121288	91.19798078577274	83.76483352853992	71.36258057068135	79.4155825993408	85.01573601370126	67.07309601586736	82.95706168608085	83.2804951908893	98.72415310162782	74.94892865152715	86.99227955092248	88.82949169411269
1239	24.562381893200016	91.47492369863728	87.59730275636018	94.18088103550792	92.84673427344798	94.74447601911632	90.55469400999414	92.4977653934134	96.32173588063986	91.86266187827623	96.09219049024614	90.13050844568909	99.69437652811736	87.59997817758031	97.03679698452756	97.14877642771647
1240	0.35942158503526983	85.46282478816516	79.0044973448644	87.12186977252932	88.11222338330442	91.18414675383649	83.59441187328677	89.5673812368919	88.7225423406986	82.24430145758966	91.34689847580827	88.86346466111488	94.87388120423122	79.50082830247133	90.494158800049	91.18585361842919
1242	4.788979476518492	63.36293309966883	57.973799853894725	58.37761377973242	66.63003611882522	57.64843471755607	59.999936957866105	58.23742218382667	60.87723444328166	64.03298093755392	57.01846633530673	57.7004635291784	78.0671006509766	55.310402755175105	67.23186846896529	68.7695125243126
1244	7.923158553896076	87.27735111428971	72.45266373127697	91.20537602505235	90.67514884520904	92.31001058497759	85.53248756972441	90.93578391555947	90.80236633934223	78.47989711023197	94.28791537606651	82.33835475602162	98.5683607730853	80.40782968143607	94.01435635183003	94.89290903500515
1245	2.9581957909284435	87.21027269054741	76.54383488315707	92.03864751312359	90.49058957071749	92.60189436383831	89.52210061816872	92.12836169940152	91.0362714190956	93.1873441517498	92.4363532919076	81.20496680848487	97.95792079207924	82.14965516833718	93.198066777531	93.60375819006752
1246	6.194026739011553	89.08557063868744	82.82447684014616	86.30801074634097	85.54020922378027	88.74967646110045	84.3194753021496	86.65042092716237	87.74862523858691	85.45207009827226	88.11764893149727	90.09099945881542	95.66210045662125	80.75078655093927	88.80062632513031	89.78709042385208
1247	15.873625398624036	62.62555715155423	73.94200251176107	66.29016059143785	75.21563300619637	75.81664033768737	56.21645359595898	61.76006904872568	76.34259204330301	74.4713444072709	87.58047167591579	59.37488837269972	97.01166180758023	65.17020933991591	82.50488519074612	85.47032271963994
1248	9.64251716569861	87.148409523365	76.50800844779423	88.6714160797758	90.08491003977903	92.18204645605795	86.75112268153958	88.45770972469933	90.80611117374008	86.17332021962171	93.40773292880465	80.94811400607095	98.73684210526318	81.3066116764771	91.67013401205243	92.35312295466514
1249	32.95761787373371	82.69973109848377	83.01491713776544	87.90461164847933	83.92554063141179	86.81611747902775	80.29438956812253	84.21002579897934	88.31501632525656	83.82048091957124	90.0309751206046	85.91816797728225	98.25396825396825	80.30249525797888	91.9713994219731	92.90139769523198
1250	15.42758656658885	62.65257805209396	58.34744337174831	65.5271306596127	62.859090948870765	69.81684565832931	66.27946626185162	67.4227838241317	69.01679294923456	64.27895636274694	68.66843335519118	64.88732635058632	86.7451381780963	60.85635313441928	71.77022156443309	73.16094478198812
1253	7.661228912941202	73.06295451413233	72.19753038944297	78.09434483929894	75.69554332386114	78.68973140382369	70.08923144328752	75.36600814283906	77.73913336939442	68.09255374431827	80.1667001934227	72.11858558155765	90.68509615384637	69.21997260937506	79.41714191921957	80.81599048035433
1256	16.383778494725043	71.24323624194317	73.83222417651389	80.10226134355767	81.20033290135675	82.93106315800155	73.85459255904158	77.1757416501391	82.25166961757944	75.70196387681439	83.74939882190557	78.66799107905598	90.18475750577251	73.1127755405451	82.98872797912058	83.62073638299246
1257	21.91877693961507	74.86450888182962	76.01485355827319	84.69898940130255	78.40301478796233	88.13547290733769	82.08554381178672	85.71635362743943	83.50254073228635	78.79663448111141	81.3253762265748	76.92795181019954	97.5956820412169	75.27510077042685	89.37075234512099	90.08883714175998
1258	5.8524992812408785	75.94214465490852	72.37459643144982	72.68444285732323	81.61919266316814	80.04105289074808	75.54110525819287	73.77939715174391	83.1128969300614	75.44252709125226	76.21717090619478	74.89038485090038	90.78164825828433	71.02995677213237	83.18842386533116	84.43214708074288
1260	4.937675524226457e-2	68.40687270033669	72.57491779731915	54.94324416102746	55.62555091752812	54.1714786134352	54.547190004923365	54.27387823166641	54.26243014083637	60.67539400954627	56.59743176859728	53.41694463889534	85.10752688172066	52.92924173643585	54.05441912748724	55.022203537603254
1261	6.997915900876149	77.73028668148226	78.84863236703193	80.6571483299074	76.10943855715448	80.86815375089255	79.42893514464436	79.92621886405034	76.21136177755568	78.82199627196633	81.5733502483095	79.44117947404902	83.08943089430898	72.80120030693695	81.80927679382384	81.95307143922632
1263	10.335413077119052	66.23237857809448	61.79425114158542	74.7953149779703	82.58447440129603	81.66408270465297	63.89452954473812	72.0491750869069	80.13647148699333	48.487056573706795	83.42057327200752	70.71437471559408	98.29912023460415	64.83954543632649	75.86375109460326	78.59878582677412
