"ID"	"CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1301	94.82712216026894	93.32443888277916	90.03494327219033	93.18048540535	92.68622415397864	86.53191813444177	85.9194009563644	93.28100334875926	91.08161560876037	92.90144313594101	92.28661724457359	0.11664245415433593	93.10400930436936
1302	79.75199353282528	79.2907343176869	76.04113515464785	80.54219542953167	82.14865353636439	65.56779254671095	71.02998381783266	72.42641089754304	72.77124629877872	74.23833746404186	72.87063675074354	9.887315874184978e-2	82.14557026030582
1305	99.20691704915885	97.12904518205411	72.27276888928448	49.28142396286124	76.61234329698465	21.448524011255284	50.302666123503016	98.4042677633226	98.32647020862395	30.492960295136264	86.81796303046842	6.663851721750676e-2	98.78185364924568
1306	75.20574913216741	71.2739186418745	75.2635045183539	78.6492644726242	76.35990179163028	85.83939887270543	74.80755098089632	67.07122420999838	68.06254685582186	70.57449529515128	51.9620589276258	5.134506944193466	80.35774853753308
1309	67.39306778864359	68.10349551896996	54.34382635558339	48.69052368309153	60.511147818941765	61.52216305216923	53.177896403869255	69.08097189593047	66.48551602844528	30.83143308336082	36.539435835762404	6.551402063785418e-2	69.78459537598157
1310	71.3526031423052	71.74617908171398	79.99889995246446	62.3004633029979	61.216135994587184	49.5484207866914	31.352266437199493	43.28085025482075	49.64022914919849	78.2953222823747	55.43117038912491	2.721030941711473	71.02248689509871
1311	22.73143337715342	39.53765725980329	25.869855977518526	24.552206350207996	50.44380750103738	7.891032017318982e-2	7.891032017318979e-2	43.65125701676772	36.174812419881384	10.002415508382997	24.992966445306184	2.5724316004751814e-2	23.317572285880328
1312	65.47673543361252	65.23541328350414	66.42552336922506	50.714959073707846	60.85448582160892	46.05956523335376	46.53951456193667	67.89246717714876	69.02196712855499	57.5550890902758	54.732869498552425	7.286344561786641	65.70686442092983
1313	72.31111893042663	71.65409311251072	68.13542976371998	70.07505995512244	70.4231116345603	67.15484522180198	66.94413372661148	71.51428711373289	70.37157525952314	71.43219236266114	71.95790089199635	8.653471127508496e-2	73.91859109809879
1318	60.93825231258232	61.2929517647392	61.576819910270245	66.1087039083475	67.55636142703277	67.74750370186706	62.07624304230672	64.22920726002592	64.74156880174097	60.89822389240288	48.435928872222696	5.113102560033553	73.19432283115688
1319	57.606659587355345	58.6562849207247	54.881641545363834	54.219938921877784	57.62457195284231	67.95339757648215	62.194071695063826	53.537567403312835	53.78975735605815	55.246339807478726	58.554270146325216	0.20015766757991332	60.9593574562529
1321	84.04224821985929	80.55347390047747	81.83652697474598	79.69160791605529	80.890688097773	68.2206419420825	68.81283787798398	82.73444307592459	80.96176525995946	72.13189703936823	81.52794272949063	19.572806800580707	84.2527572209177
1322	23.388001697329415	11.671937000229999	58.55964749362218	53.22555896305944	62.69738133251253	0.13382812346409656	0.4623331567597084	28.74719339922932	17.559663057994467	51.7904219333805	57.51215044484446	0.1030799711097318	66.93522636527034
1324	89.3688356988873	89.2034777851899	89.52000478818721	90.59811694394216	91.45156104924477	89.92688061439492	85.86496222465287	87.6009482439231	87.32289592948412	88.57715514166699	88.22243030112708	21.75935339654094	89.93006610781016
1327	32.14375960648327	32.142730915360154	17.110958261544667	21.910262289719235	60.93072779730262	22.969423266514347	17.767295038966317	36.89865194750255	83.1904971803091	18.366664847790407	19.636407112321944	5.923110876812494	31.247151326480875
1329	81.0546015971759	69.77173209106222	81.64468109840074	80.51653035105984	80.41255618941709	80.90621670799713	76.64004161364814	80.2658619132945	80.28082297693852	83.15105986306757	81.710971180741	5.17606242338872	80.97750111682453
1330	82.961075081727	84.21400616937848	62.87239065803097	82.14388826413919	82.52769213457427	83.06632925883363	71.35375121412562	77.39047251948273	79.8612947002458	70.30851890222301	60.70436234599843	0.1219661366006948	83.57768420311687
1331	82.88607474855823	84.94309161351994	78.77103820217498	89.20512213075659	90.8004476202566	72.70414365770446	79.32018080989606	80.60110111314255	85.97681116797024	54.107965887893336	62.81433656302694	1.9563031562941275	89.9233849759203
