"CB3"	"CB4"	"CF2"	"CM3"	"JR2"	"KO2"	"KO3"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1301	94.82712216026894	93.32443888277916	90.03494327219033	90.03494327219033	87.97579502670165	92.68622415397864	93.18048540535	86.53191813444177	85.9194009563644	93.28100334875926	91.08161560876037	92.90144313594101	92.28661724457359	0.11664245415433593	93.39325425656912
1302	79.75199353282528	79.2907343176869	76.04113515464785	76.04113515464785	64.15620217797125	82.14865353636439	80.54219542953167	65.56779254671095	71.02998381783266	72.42641089754304	72.77124629877872	74.23833746404186	72.87063675074354	9.887315874184978e-2	81.38453572310003
1305	99.20691704915885	97.12904518205411	72.27276888928448	72.27276888928448	33.91698364205264	76.61234329698465	49.28142396286124	21.448524011255284	50.302666123503016	98.4042677633226	98.32647020862395	30.492960295136264	86.81796303046842	6.663851721750676e-2	98.8484921664632
1306	75.20574913216741	71.2739186418745	75.2635045183539	75.2635045183539	65.85772254551519	76.35990179163028	78.6492644726242	85.83939887270543	74.80755098089632	67.07122420999838	68.06254685582186	70.57449529515128	51.9620589276258	5.134506944193466	80.68830928521525
1309	67.39306778864359	68.10349551896996	54.34382635558339	54.34382635558339	31.520366299777454	60.511147818941765	48.69052368309153	61.52216305216923	53.177896403869255	69.08097189593047	66.48551602844528	30.83143308336082	36.539435835762404	6.551402063785418e-2	69.56242611908671
1310	71.3526031423052	71.74617908171398	79.99889995246446	79.99889995246446	52.951520031932596	61.216135994587184	62.3004633029979	49.5484207866914	31.352266437199493	43.28085025482075	49.64022914919849	78.2953222823747	55.43117038912491	2.721030941711473	78.6028452454436
1311	22.73143337715342	39.53765725980329	25.869855977518526	25.869855977518526	22.233501129865445	50.44380750103738	24.552206350207996	7.891032017318982e-2	7.891032017318979e-2	43.65125701676772	36.174812419881384	10.002415508382997	24.992966445306184	2.5724316004751814e-2	26.71595619355508
1312	65.47673543361252	65.23541328350414	66.42552336922506	66.42552336922506	57.092853739197594	60.85448582160892	50.714959073707846	46.05956523335376	46.53951456193667	67.89246717714876	69.02196712855499	57.5550890902758	54.732869498552425	7.286344561786641	66.59719826336332
1313	72.31111893042663	71.65409311251072	68.13542976371998	68.13542976371998	66.20789953216963	70.4231116345603	70.07505995512244	67.15484522180198	66.94413372661148	71.51428711373289	70.37157525952314	71.43219236266114	71.95790089199635	8.653471127508496e-2	74.85867765922345
1318	60.93825231258232	61.2929517647392	61.576819910270245	61.576819910270245	52.698417989680365	67.55636142703277	66.1087039083475	67.74750370186706	62.07624304230672	64.22920726002592	64.74156880174097	60.89822389240288	48.435928872222696	5.113102560033553	72.58934635492717
1319	57.606659587355345	58.6562849207247	54.881641545363834	54.881641545363834	25.86121805881935	57.62457195284231	54.219938921877784	67.95339757648215	62.194071695063826	53.537567403312835	53.78975735605815	55.246339807478726	58.554270146325216	0.20015766757991332	60.44497636199424
1321	84.04224821985929	80.55347390047747	81.83652697474598	81.83652697474598	58.540504053272436	80.890688097773	79.69160791605529	68.2206419420825	68.81283787798398	82.73444307592459	80.96176525995946	72.13189703936823	81.52794272949063	19.572806800580707	83.69636380227502
1322	23.388001697329415	11.671937000229999	58.55964749362218	58.55964749362218	34.96676900409168	62.69738133251253	53.22555896305944	0.13382812346409656	0.4623331567597084	28.74719339922932	17.559663057994467	51.7904219333805	57.51215044484446	0.1030799711097318	67.1398744469249
1324	89.3688356988873	89.2034777851899	89.52000478818721	89.52000478818721	80.04648429387726	91.45156104924477	90.59811694394216	89.92688061439492	85.86496222465287	87.6009482439231	87.32289592948412	88.57715514166699	88.22243030112708	21.75935339654094	90.15779316463144
1327	32.14375960648327	32.142730915360154	17.110958261544667	17.110958261544667	15.712237474726983	60.93072779730262	21.910262289719235	22.969423266514347	17.767295038966317	36.89865194750255	83.1904971803091	18.366664847790407	19.636407112321944	5.923110876812494	30.92227672133972
1329	81.0546015971759	69.77173209106222	81.64468109840074	81.64468109840074	78.45894362361528	80.41255618941709	80.51653035105984	80.90621670799713	76.64004161364814	80.2658619132945	80.28082297693852	83.15105986306757	81.710971180741	5.17606242338872	80.97750111682453
1330	82.961075081727	84.21400616937848	62.87239065803097	62.87239065803097	53.281266930230665	82.52769213457427	82.14388826413919	83.06632925883363	71.35375121412562	77.39047251948273	79.8612947002458	70.30851890222301	60.70436234599843	0.1219661366006948	82.21384833209729
1331	82.88607474855823	84.94309161351994	78.77103820217498	78.77103820217498	55.326921629876644	90.8004476202566	89.20512213075659	72.70414365770446	79.32018080989606	80.60110111314255	85.97681116797024	54.107965887893336	62.81433656302694	1.9563031562941275	90.21362729359257
1332	86.26804338927842	87.39919227770815	82.62258855512917	82.62258855512917	80.01443340206954	89.75139822753808	91.64829482009522	91.64775720963179	83.13543809594039	88.48149015269627	88.73568223154685	88.20439921808236	86.28769503635235	0.937934325336428	91.43948026632822
1333	95.01776003416238	94.78928908836465	91.89210580058949	91.89210580058949	80.29392616121021	93.58284345572177	93.2264300600573	89.73910461888566	87.9425008821448	87.40227194501927	91.85207790909362	94.38099979051184	95.80161100467724	7.46783081292515e-2	95.90837864946951
1334	87.79414823197254	82.506866677141	84.37734948080725	84.37734948080725	81.38324769029708	79.75549428107783	79.8253214968684	81.0342870552752	82.52249309212992	87.01859871482695	82.2200188383753	86.3673715967837	88.4217914599147	5.432872798912782	92.69543675849707
1335	71.62129066069537	71.36509384480023	62.80563151047025	62.80563151047025	50.25088661168784	68.15179360371528	65.17081536144748	70.76636919992949	66.20011670618537	66.38629879913852	70.48065683915658	69.06182446012708	65.72486572943119	9.208084405401154e-2	76.08692207034123
1336	82.23310789823095	81.21466511659494	74.17751165377678	74.17751165377678	65.98370157332647	76.96287013090195	75.56065910618534	81.09938644471572	74.41170127599442	80.96894156568644	81.09539485870523	87.46734669759643	85.88050092874465	0.10303243876739233	83.31042708701126
1337	70.43932985694138	72.73185583735244	60.01139500507464	60.01139500507464	48.50530580763102	76.42511615076558	69.67825518158904	68.62611070154307	63.612177268759154	63.826289399485724	69.50522297459479	60.266949554381064	57.441114058521116	1.7080165273705303	69.61086200982247
1339	73.41328312262641	74.46428198296688	80.89395559849818	80.89395559849818	66.96284938185542	85.64250178141131	82.38469501837747	72.61649961639148	66.88141336074376	85.6035457915743	84.29933009596523	71.59164086901272	70.8822383812008	4.767089285789463	86.50124627710683
1340	71.60513609979276	71.70369538110037	66.9793835324979	66.9793835324979	53.71875437225491	74.39159515603899	68.67008144842103	67.41486650397555	56.97522765152237	67.29107695549244	64.03284292578333	68.34222837021157	62.47352512273634	6.515534233638647	73.17291925225275
1342	60.83744152418716	73.9952552098375	76.07047767789538	76.07047767789538	65.70414517458131	66.4785640612605	62.0915336541061	66.86807263594666	59.05490411276152	69.90523968387599	73.68195951620201	74.3891024851626	70.85267148676844	7.471555319270047	74.82507374924872
1344	89.9118695162973	89.28486904689785	79.19445352646703	79.19445352646703	58.38578066803078	90.45071165888213	86.91417910481705	83.00436330537384	78.30192449863563	88.81514711619586	90.28449473354604	83.13949649535148	84.20296727172332	2.3457353111837964	91.02261597887517
1345	90.19849288564235	95.17666745843394	68.32196108327963	68.32196108327963	65.59535849372266	91.51286892393085	85.93380451500504	84.25190388606005	79.69609475070418	91.4451215557235	91.37495468006989	74.99893654417849	73.4226375938675	9.469072220041593	95.90851062831769
