(1301,98.0335639705477)
(1302,95.5993608818711)
(1305,100.0)
(1306,92.09415680912227)
(1309,92.36381869075186)
(1310,94.83941888236983)
(1311,93.79022576870092)
(1312,82.25462225752797)
(1313,80.35174531979048)
(1318,93.83523934280515)
(1319,82.43727598564115)
(1321,94.60629632346918)
(1322,88.73146333736011)
(1324,97.89503468753577)
(1327,97.9062215132096)
(1329,91.69504037601416)
(1330,96.42393323030687)
(1331,99.21899558581899)
(1332,98.62150896139461)
(1333,98.45186121322465)
(1334,95.95776274541313)
(1335,90.76881009690327)
(1336,96.10505928057145)
(1337,96.19105411761043)
(1339,95.02681054347913)
(1340,87.99370310358275)
(1342,95.16167534722034)
(1344,96.48898361611718)
(1345,98.23483852373826)
(1346,96.011055849089)
(1347,91.04622568301421)
(1350,90.30259188991822)
(1353,16.336543457789535)
(1354,95.50702402963311)
(1355,99.11139804289465)
(1357,93.12119070748928)
(1358,70.7018812735653)
(1359,97.87995398507528)
(1360,87.32577920588808)
(1361,95.45005815712925)
(1362,93.16312336857868)
(1364,96.59533918808827)
(1366,70.74352110878623)
(1367,82.23935180315895)
(1368,81.755466985765)
(1369,99.60906334769219)
(1370,97.03203327352841)
(1371,14.188582101927368)
(1372,91.40865422402351)
(1373,87.59196907345058)
(1376,97.57795729295734)
(1377,99.222288434313)
(1378,96.99320483670276)
(1380,98.73686136242554)
(1382,97.11255156156852)
(1383,80.96994102824425)
(1384,84.72398004756539)
(1385,98.8456120859819)
(1386,97.10183125248523)
(1390,92.16204574983463)
(1391,97.59896753532811)
(1392,95.19311994853801)
(1394,97.18016311891662)
(1396,19.88612748297401)
(1397,85.85782822693682)
(1398,97.83655229119819)
(1399,89.94311157466157)
(1400,82.91954111748625)
(1401,77.81987934361668)
(1402,93.86022057569956)
(1403,94.53541349444909)
(1404,88.24539474514398)
(1406,98.10193547243684)
(1407,98.88507580948477)
(1408,87.32577920588808)
(1411,92.95331027667152)
(1414,98.02523353414279)
(1415,98.6813348121061)
(1416,92.6632116137925)
(1417,93.77520649470222)
(1420,96.9910457093029)
(1423,93.47285290544124)
(1425,90.52994808744135)
(1426,97.99905764095806)
(1428,94.6608902584101)
(1429,92.04995263850883)
(1431,98.65116322424775)
(1433,93.77821839232766)
(1434,99.95485959491549)
(1435,85.99749107581664)
(1437,99.73773978077156)
(1438,95.39446631028189)
(1439,99.70719557901077)
(1440,92.00503889464615)
(1441,99.0209398976963)
(1443,97.54634030418126)
(1445,93.32176658365377)
(1447,92.35784192266021)
(1448,85.71473908944441)
(1449,89.94470945358557)
(1450,89.44616772360747)
(1452,90.56887248770964)
(1453,85.78798189341336)
(1455,95.7190686375624)
(1456,98.53355299160755)
(1457,98.52736103096326)
(1459,98.41412400578706)
(1460,93.24411388750283)
(1461,85.71473908944441)
(1462,98.95820447798113)
(1464,96.79097486594212)
(1465,91.35746137888465)
(1466,97.17190716966788)
(1467,82.53986400719363)
(1468,85.16456117021308)
(1469,98.14315425831866)
(1470,3.507853785277235)
(1471,95.13339241510279)
(1472,99.92339153492092)
(1473,89.20296491202707)
(1475,90.4078062687504)
(1476,96.4388134280113)
(1477,96.58947485645338)
(1478,97.41891613632077)
(1480,98.17944462340292)
(1482,96.4196874633653)
(1483,95.07655962041818)
(1484,98.85127531882321)
(1488,97.87540993944602)
(1489,95.07711809944003)
(1490,97.23910407856249)
(1491,84.19686599328188)
(1493,86.27174550869732)
(1494,97.0920883361863)
(1496,99.22122800763515)
(1497,77.56613996847226)
(1498,95.12858634104298)
(1499,78.82834323142316)
(1500,98.09209651256187)
(1501,77.73771066530799)
(1502,98.643508466258)
(1503,95.41389351081524)
(1504,99.51778162677505)
(1505,95.48670660607735)
(1506,94.71079874302491)
(1507,94.44839015150541)
(1508,99.36144703919668)
(1509,95.42983396099478)
(1510,95.70069433903662)
(1511,91.49012764964833)
(1512,96.65539446840037)
(1514,93.87661530664828)
(1515,87.41531541535753)
(1516,97.40242800292494)
(1517,63.45634736199799)
(1518,93.6864193591817)
(1519,92.4586734677326)
(1522,98.04545040116598)
(1523,95.92238080159926)
(1524,97.83604643571682)
(1525,96.235402581408)
