"ID"	CB4"	"CF2"	"KO2"	"NG2"	"NMSD2"	"PP4"	"SB8"	"FUSION"	"MVOTE"	"RANDOM"
1301	84.04289776497453	81.18902465778254	83.5319426202185	78.2291128986378	83.2436095961488	84.07438286035249	9.382975177350061e-4	84.61760501613821	84.04289776497453	69.67359401425249
1302	76.05405190334064	73.45582358703372	75.26823215507716	67.63262113595286	76.37181076927715	74.70637460074254	0.0	75.02808760583034	76.19627611753027	61.874207024680736
1305	96.99809092558168	68.63621925770988	80.11622944110681	47.74372103363429	95.89320003013572	84.88967785759658	0.39008166125543703	96.58439609030096	93.96691707970828	64.67510195727895
1306	65.20540132890083	69.02295853288862	68.6227800841677	58.38405234041018	61.63497134180297	50.107577976507244	5.238466822390641	70.27797455040738	71.2915708619112	56.738129164018126
1309	57.82373072749877	43.89686645445528	45.69419692302649	39.02340307965282	50.14475483656881	31.96284914809332	18.276906545447734	49.92373700878929	48.3192764603282	39.67722492973052
1310	58.00810624599314	65.69468122434468	44.52751291515752	31.0464495223918	49.38309601966453	48.18448632403769	2.9184869131864617	54.09025545135464	49.880097057728634	45.11221504730183
1311	91.37840300714407	90.62833463314124	92.07520131053113	90.62833463314124	91.55516660796202	90.98334700825234	0.0	91.2462226163551	90.62833463314124	80.59379875860525
1312	55.1486503386792	56.136417416685816	55.20949682733101	43.31513305210415	59.10002901536817	45.93381957310782	8.697485499960377	56.6480741193359	57.433302689811164	48.53177291653109
1313	67.16841939762584	66.1869361824647	64.38749832127786	59.235485527359586	69.17138348560806	66.48731929200162	9.240847120950054	68.93067073059869	66.46350870342229	56.538581820502365
1318	50.30046951886627	48.92654572173553	53.17564791006711	44.01778139848153	52.0781567633486	42.20122734832394	14.756770380172664	53.646177703146925	52.416356007628686	41.26610739098556
1319	74.15143137526466	41.87659151637682	51.31669821131415	40.08484052298471	57.575447140939616	48.357851849468645	18.31190289541218	59.432582108762766	56.49886833117276	50.49776705746797
1321	62.35384116551334	59.82621739922097	61.244041879872015	54.404644711013525	59.419214353894645	66.56602364391456	19.17082859375846	62.31728534936239	61.5016960932665	53.508506838313885
1322	54.3763838600307	54.57394441844009	52.996278151008404	20.925340920736208	67.63203501781578	50.02620157869377	0.0	65.37020891427616	69.58659899261917	43.09608581082706
