"no"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1032	58.10150173429991	65.40979170629257	65.43158235227907	63.202895469761145	69.64336017005984	49.245522662167325	45.20803604047818	60.938463544153066	58.14862442820782	55.10721706299372	59.26789728040352	6.42087762462201e-2	62.94206547490974
1033	86.58878227577807	86.66360904444778	85.03435441249265	86.46762397912879	86.54359938268861	84.2661024259661	83.08303415194837	86.78651300997086	84.82797971324165	85.75333188994094	85.51118077641252	9.20465609513894e-2	87.18660794913686
1034	81.95814269020984	80.11946888625575	77.45457072098009	78.1801674838162	77.76174887784435	80.26455502305794	65.40993904212256	74.57617171649429	74.10874302570649	77.93192952314133	77.63094389444915	11.567718390449826	81.5092079605235
1037	77.0926662937106	81.01843882414485	69.63982154624436	74.67960699684575	73.69137339047498	65.34709468811839	66.55143327572505	73.76896027026818	72.96689260336315	67.97231686582143	69.03480838249585	2.9226830125856407	78.10005136514903
1039	95.67254845032261	93.02424498199551	90.01939622768079	92.41431168425841	93.41987196968591	85.0227975137445	82.80256192560562	86.35930566170137	93.18470739048446	91.27180066494711	90.60921207020426	7.189627711031647e-2	95.30143706409582
1040	95.47539189449894	95.28853942422745	89.99114125902591	94.56691974498553	95.07011594208575	91.71192853249079	69.685905334708	94.60143274072156	93.90832421972833	90.21502630501898	63.264943871177145	6.241512928496163e-2	96.44345507321219
1041	93.10017021906373	92.24829377794667	90.356168630486	93.1952771459178	93.39203016589177	85.29557051537653	84.61695508346422	92.37020323967252	93.31854357482199	91.71796503623443	91.71796503623443	6.665832405706991e-2	93.71208637919615
1042	80.02742078133424	83.76434693466395	78.71378389851695	78.76010067231933	82.32468221955968	77.51293685208867	78.39395315074982	81.72405022970955	80.15031278820233	75.3605803597631	74.78902910776532	8.762063457520333e-2	84.66710947717777
1043	84.68187118317924	79.99429365129022	69.47765822665781	76.61105704944312	74.58787137164018	70.41041157060356	58.14773438787123	76.40307871340327	76.86751564684387	70.72953470449038	66.57055705521351	10.523372365678513	79.91291142558768
1044	80.80247720136936	83.93149532519169	73.98144677074026	78.09093069448761	78.76915870599039	68.9313553101557	67.99869900646905	79.2324361429834	73.83961308482928	73.9330190298748	77.647529869296	4.6002546862399605	82.4012229661175
1045	92.61715107579478	93.12842720411554	88.87055345833458	91.02899713130792	90.93758595290976	87.71671403362552	85.7193630820447	91.81490063681377	91.09234117839252	91.67336117907877	92.70434406347151	8.972772256386972e-2	94.87298586307385
1046	77.79307517878911	71.38495557995282	77.5893929427347	81.3761421902339	79.17229042549859	81.88337221302751	79.68634754091455	72.85037205919308	73.37957694930772	84.76713967813579	81.3677361541981	9.695368668015122e-2	84.80905471732616
1048	73.3301859184542	73.23246075482594	78.76376473251564	83.86414828937008	79.62322641423056	57.33117136524649	60.79555332329478	76.5569512732266	76.37027498171518	77.9060044811471	79.66816674468703	5.5465382474703534e-2	85.24576158635455
1051	90.5864733183481	87.39831540504039	73.84807663960554	69.5372602037556	79.25805249042193	69.16481991443182	72.11301068811319	83.56399837779328	80.18987803079231	87.13345107863356	85.61580455352596	7.019212762912506	83.4102954117174
1052	85.87936286705981	84.76017909102248	67.83135746839802	65.92006492973262	78.97686218333818	63.225537917644246	56.722072473966	85.60678752974859	85.47538643152134	53.14185438577107	51.28629806183875	2.3025584278312237	84.58415823378397
1053	60.52187448164344	65.93931215826807	57.892071166287565	59.441977129116864	64.70478384195289	51.11895980776456	49.76965139440136	70.839435337737	67.25061702785595	59.82618397037376	58.0418894739462	6.179634853189927	68.28338948441589
1054	89.65538970797564	90.25136335225199	85.83335242858034	86.44408244690594	86.74275471368071	87.70674693449762	89.18152946360435	84.97942980866046	82.91703683443835	84.03717250773356	84.13119204083776	22.952836038187694	90.22972822484981
1055	80.83623524720764	82.67037204150523	75.66641142099797	80.87152185508918	78.80651741795636	76.0316549472592	74.30736021994564	81.81653580306808	78.50406493822277	74.08933661316432	69.9077589191801	0.12771867852032348	83.93528908199134
1056	70.94572637558369	66.02599391241878	63.55104192848802	58.26872340795557	63.87489427257811	46.34288599546697	52.14513305580702	66.60838247011857	65.71227487697128	54.0312580500075	56.613068089663855	10.73245980297687	74.31713568104088
1058	80.1370636897615	77.92720470936506	68.8382409488128	74.78972573266492	79.40647418000562	64.3606552262862	64.51909824063436	71.3309311993881	73.6049860125926	63.99753712272046	62.60355258476758	0.14275010313221542	82.0302048450128
1059	93.63799062670512	94.35727102450306	94.42783223270797	94.27071367719631	93.96135240143315	86.70494332634038	86.67326135475284	94.56340450130483	94.76564040334591	87.60152629283239	86.44888584826218	1.3417758526606463	95.21111266817928
1061	70.74386030950173	71.10472855543489	66.9076772427033	65.27167484691864	69.66611700031129	65.89480334600538	63.91697581971012	71.3202698824148	70.94532680789074	69.37050673694874	64.3892435278287	21.78319790188562	70.93268752171578
1062	67.92139591154732	49.99658458129726	89.25954189034925	87.9328545550198	62.257671088497304	87.7486247839735	70.56937299152749	80.84646400276809	78.27101564734315	80.94877580625803	73.9677832050413	42.708261505773095	85.54153709926352
1063	88.59313531002394	91.29008301718493	86.2435064292123	92.64031730206366	91.1085713733749	87.2213767303908	71.00858754585559	88.01809681142035	85.05319119956322	83.76111463370545	84.32917934928746	1.291005427531743	92.6381811622692
1066	94.14643247839342	93.83832632029704	91.30660311348878	92.78205528962512	93.05122631605292	82.35024187699074	81.35981700162702	91.75756559489723	90.01801354437109	93.19211422755431	93.19211422755431	4.9414518790675446e-2	94.31883759988213
1067	71.87524714245268	81.8841413478499	66.95669249909038	42.283969239289185	85.39407418446648	37.954926962861116	49.04064952031262	67.82746739671802	85.1843200392176	63.01328308354452	60.74921467763674	10.493712313415609	78.40367064171294
1068	83.04319718685561	79.54359181176197	88.2881257103595	82.69327689850805	90.4626684967086	62.58835994736474	61.05633392375866	92.4225711922399	93.65494034491999	76.5844802272688	79.31361620565544	22.583498180516425	88.17046799944528
1069	86.05995364695053	80.36856905157192	79.38497020794097	79.68466063810973	85.07713698405874	70.76850375277209	63.55923600993658	87.17087316219983	83.96835478969581	69.89372700712991	66.50979187810367	9.68356269189469	86.68461966668126
1070	73.41328312262641	72.502248255155	80.89395559849818	82.26139280044723	79.14462168376039	73.74733147147299	68.06992138885917	85.6035457915743	84.29933009596523	71.59164086901272	70.8822383812008	4.767089285789463	84.03502483821684
1071	79.83819034587549	82.42964092239876	83.92108262615176	84.73404147952334	79.62147175979737	92.31506410551789	84.3249635978482	79.48814164973922	79.97635114758896	79.32823312166639	80.9005664797433	8.119661688195503	85.05045058701717
1072	91.74280032448341	92.42563287954337	85.69029209185292	91.79248395762617	91.2085954572821	89.26206672480426	73.83645113254764	88.51471503721355	89.15773182133017	89.06029559576272	84.1428893383309	0.15826205974415677	93.62742232945148
1073	58.79494494159023	59.52626733310714	50.6281456378541	53.23099519420806	53.17970810124189	53.9573099351782	53.39730983209666	58.45225963900451	57.124337887222254	52.35745959397875	49.64186877249423	7.2270314659732655	57.1872952726006
1076	76.5435291721231	72.50367546955259	60.55452046492464	65.81819551096817	70.0697042445442	57.624041302742256	50.60896458338892	72.18590617019893	72.99951202034266	59.71982341013469	66.12296872603741	6.504598385028672	74.20229785768315
1078	61.572549719071056	49.80785668783207	35.26745377738034	41.68391509364108	37.59715544348959	34.26860292432503	29.678002141370147	54.29044606409356	49.90727425934955	36.62610961702821	38.738813577256174	2.1956411428152474	52.361615182837504
1082	81.84902147006567	80.56910655381046	75.12275440483019	78.8125842992882	81.21630658278285	82.84208481772978	66.26542719296499	74.73389860263494	73.60928736540573	77.57185817380244	69.09370095018933	26.553371240941964	76.79691459497523
1084	89.0370490558558	85.4536036004816	87.64119763870596	89.67877960009812	87.9761804342973	82.22543760142342	83.02285480446507	82.83414624899424	91.2954000132574	82.49949201784963	83.48979706715379	5.712943746525583e-2	92.68249761424869
1086	77.98823896672064	76.85739306061741	83.59900166667519	83.8305395131238	84.84771145423714	81.07307071654921	78.2153724082874	84.79083113941861	87.3336371741484	86.97302368990421	86.46337995810003	11.673811240582028	87.84656031415136
1087	1.1452058230115278	1.1452058230115283	6.902610413305127e-2	92.65330072086361	92.4810956942424	0.15373995983979158	0.15373995983979158	1.8114123156505952	1.811412315650595	2.1270266248072893	2.1270266248072893	6.570393262345189	1.298945782851314
1089	88.87120332795313	94.75120746648568	92.02584011401184	93.73567764421504	93.43153019583116	94.50770472012387	91.20257048791849	92.44607694534147	91.2603620255353	93.9230445851113	93.92160321536814	4.906200095557342e-2	95.43852637628906
1091	3.420672796173113	3.1457527029591095	92.54229349201327	92.12591963656985	92.10256488136655	91.62996823214239	91.95067941335701	93.2793423563805	93.90449521670396	93.03963517292416	91.18250170727997	8.351802479009935	96.22282456340639
1094	2.2854203406338223	2.2854203406338223	88.76811181735894	93.40927117457824	94.11872960449465	86.50568758100401	86.6428090010848	91.85016041632494	92.1253535073014	94.47352216262132	94.47352216262132	0.1237228606867986	94.97249970436016
1096	73.01634249371259	67.13800230384193	64.96480582136597	70.00978951396361	56.54718018005717	55.32536737528972	55.63177535145961	63.277928921797574	60.55331158491448	38.428790490399265	39.207237696257785	4.4821547675226656e-2	77.79363615292414
1097	70.94572637558369	66.02599391241878	63.55104192848802	58.78284640514138	63.540954745423136	46.34288599546697	52.14513305580702	66.60838247011857	65.71227487697128	54.17967561763193	56.613068089663855	10.73245980297687	74.31713568104088
1098	83.55386494036367	85.02855943567465	77.1618378412255	76.94339216986205	78.84064493517681	71.05276751614717	77.94022908870112	81.97303785039692	81.93815738078838	69.06263508762173	63.602973037149326	6.4753450646939905	87.85518435703189
1099	71.22273136430098	66.49853593663202	57.256659458656024	65.92670228124562	63.808017125104186	60.31718247668238	60.79531996804517	67.52141056318602	81.6684552897744	72.31483103388449	69.11279271381767	5.7678071752317654	76.22821799406373
1100	71.30259621062284	70.10918314767957	61.17479385273088	70.04224137821613	66.4580555145512	73.10310753086642	48.82453274281255	71.63534758612145	69.69145424646192	57.35816779310752	57.67999934258265	9.3783829250643e-2	74.79070966329651
1101	83.81524613332209	79.53022090500455	74.15869621793243	77.64359529369833	74.39040443914901	75.5969630100766	73.3644447049597	77.96389465638762	79.8264419634686	72.56145854344645	66.6992312506801	0.121048530438238	79.15497045754171
1102	35.74377263664257	52.59096459913744	50.39119310179107	48.93981884674609	46.793368308439526	50.26118706070698	27.296320643190718	42.65507888867446	37.73235811327363	61.85418208207355	58.1137560760275	8.060911751772996e-2	58.26553278026635
1103	91.33980314449867	93.49191583593843	92.00885767184326	91.81745539107979	92.5135532602096	87.34028152178603	63.303445723883144	93.60479241672655	89.88274805963114	93.65217229709087	94.54005339309994	5.604705241556177	94.38684072959066
1106	98.84655821860807	98.84655821860807	90.03564685399941	61.05617135719223	97.69101334689118	1.391196531254475	1.391196531254475	97.91909386443874	97.91909386443874	11.058908300346069	11.058908300346069	0.6308229772608026	98.3828260415234
1107	92.31542260541286	92.47198771368288	86.91488282257896	88.81307122870103	88.50433323553415	93.91316204284308	89.25915227147149	88.88150262641403	89.72317633851524	84.96841833474377	82.04368125415672	0.113045254840186	92.08359510773882
1110	77.75195332830491	74.465716494559	63.20432420733431	79.50871475937316	74.17921794408406	63.430268595352615	10.226131957534482	64.30811902169886	72.93604579431768	74.09605906314022	19.123264159645633	5.6282233964411335	79.09406713506708
1111	78.9880683036854	72.35803361195497	80.46326098191838	81.07508125605442	79.59636100924898	98.02440955826552	98.02440955826552	59.811840709833305	77.03644099977842	98.98688839309544	98.71867154250774	8.922315608660851e-2	95.48340461482871
