"ID"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1056	71.95208380675288	67.3118641713246	60.684078840079515	55.95853034357059	62.61957885028049	40.81756347848093	52.15055280366121	66.92587286667427	65.85966485514389	47.474765265763175	55.609349878112035	7.064611963167289	72.09120096427294
1058	80.1370636897615	77.92720470936506	68.8382409488128	74.78972573266492	79.40647418000562	64.3606552262862	64.51909824063436	71.3309311993881	73.6049860125926	63.99753712272046	62.60355258476758	0.14275010313221542	82.0302048450128
1059	93.5552844373079	94.27456483510585	94.42783223270797	94.27071367719631	93.81844910130597	86.70494332634038	86.28427335823821	94.48069831190763	94.68293421394871	87.60152629283239	86.44888584826218	1.3417758526606463	95.12840647878208
1061	70.74386030950173	71.10472855543489	64.90803265335346	65.27167484691864	69.66611700031129	65.89480334600538	63.91697581971012	71.3202698824148	70.94532680789074	69.37050673694874	64.3892435278287	21.78319790188562	71.23732553180106
1062	67.92139591154732	49.99658458129726	89.25954189034925	87.9328545550198	62.257671088497304	87.7486247839735	70.56937299152749	80.84646400276809	78.27101564734315	80.94877580625803	73.9677832050413	42.708261505773095	85.54153709926352
1063	88.59313531002394	91.29008301718493	86.2435064292123	92.64031730206366	91.1085713733749	87.2213767303908	71.00858754585559	88.01809681142035	85.05319119956322	83.76111463370545	84.32917934928746	1.291005427531743	92.70129946400054
1066	81.35440836515234	80.70395806569863	79.07374445466498	79.96999378262001	80.38007510534013	71.55033816203402	70.59118773985486	79.87179440042765	79.38417862544651	80.09364411988363	80.09364411988363	4.9414518790675446e-2	81.21557169848977
1067	78.3746873240768	91.87874400647196	64.96295271140023	39.34658933591425	93.78998967233866	29.71450464168518	54.0270154630381	71.75814437968955	87.7740069770369	72.5388668813838	71.75402389478424	12.72663426720468	83.93266567604594
1068	90.93506675152364	87.94134382869943	90.61704210043688	85.68353461555375	94.79609417879662	69.19607672269734	67.50230825904426	92.91194651029402	93.61081228372169	84.6698263707598	83.84170831271068	24.96773320278873	93.26957901279766
1069	87.96703987171588	82.14953434898685	79.44848067823493	81.45047054374201	86.96244401838946	72.33673186509282	64.967706945773	89.10257733311288	85.82909124085137	71.44257009063453	67.98364705147601	9.898150176941728	88.56467515733235
1070	71.41236679042667	71.05765512762444	80.69905561320596	82.26139280044723	79.14462168376039	73.38707090966355	66.82689896196142	85.1998253916548	84.29933009596523	69.1266764539167	68.4172739661048	4.767089285789463	83.68964814960519
1071	79.83819034587549	82.42964092239876	82.53505923781782	84.73404147952334	79.62147175979737	92.31506410551789	84.3249635978482	79.48814164973922	79.97635114758896	79.32823312166639	80.9005664797433	8.119661688195503	85.04882108403886
1072	91.74280032448341	92.42563287954337	85.39599072725377	91.79248395762617	91.2085954572821	89.26206672480426	73.83645113254764	88.51471503721355	89.15773182133017	89.06029559576272	84.1428893383309	0.15826205974415677	93.48027164715191
1073	58.991342163915014	59.72510744718835	50.79726267988224	53.40880673239579	53.357348321255756	54.13754763768671	53.57567692370731	58.64751216357295	57.12170268058803	52.53235319482241	49.80769127896337	7.113725909546355	57.50938303393382
1076	78.77624900872168	74.13732894192484	62.608002366225	68.39870094911755	71.95180971869546	59.89443737516886	52.293346481346184	74.8870796599843	75.52610923677146	62.34202458512098	67.86690233630712	5.897825850941805	76.47294225468843
1078	49.81602459360453	36.593865139103826	35.13526417696911	37.29068700588344	34.593089181230866	26.757977850608572	22.88624643097737	45.338560808012105	41.50813554844209	33.32770364461169	34.608667576917	2.5609213690820107	44.428323517781884
1082	82.31160304718078	81.43557105365402	75.41582157770756	78.48732197335671	79.87517428223374	80.1053030843223	67.15564795388546	76.43844743435479	75.24741963692149	77.89192705693425	69.53092767481301	28.121542997780036	77.77835096944027
1084	89.0370490558558	85.4536036004816	86.57214851060431	89.67877960009812	87.9761804342973	82.22543760142342	83.02285480446507	82.83414624899424	91.2954000132574	82.49949201784963	83.48979706715379	5.712943746525583e-2	92.68249761424869
1086	77.66667864082977	76.53583273472655	83.59900166667519	83.41537261681549	84.84771145423714	80.13700501237483	77.78883899999076	84.79083113941861	86.994647665699	85.42321143659831	84.91356770479415	11.673811240582028	87.5249999882605
1087	1.1452058230115278	1.1452058230115283	6.902610413305127e-2	79.63621450449774	79.10989917141899	0.15373995983979158	0.15373995983979158	1.8114123156505952	1.811412315650595	2.1270266248072893	2.1270266248072893	6.570393262345189	1.3501924361312418
1089	78.78832458177051	84.66524271084256	90.37563832208716	83.94770679714907	83.72165201063618	83.83578629532005	80.89755452305967	82.47409125506962	81.5651931996706	83.3600049974531	83.35856362770994	4.906200095557342e-2	84.93626453592756
1091	3.420672796173113	3.1457527029591095	92.54229349201327	92.12591963656985	92.10256488136655	91.62996823214239	91.95067941335701	93.2793423563805	93.90449521670396	93.03963517292416	91.18250170727997	8.351802479009935	96.41417519659197
1094	2.2854203406338223	2.2854203406338223	88.09447790048243	93.40927117457824	94.11872960449465	86.50568758100401	86.6428090010848	91.85016041632494	92.1253535073014	94.47352216262132	94.47352216262132	0.1237228606867986	94.97249970436016
1096	73.01634249371259	67.13800230384193	64.96480582136597	70.00978951396361	56.54718018005717	55.32536737528972	55.63177535145961	63.277928921797574	60.55331158491448	38.428790490399265	39.207237696257785	4.4821547675226656e-2	77.79363615292414
1097	71.95208380675288	67.3118641713246	60.684078840079515	56.503950534866654	62.26531078256292	40.81756347848093	52.15055280366121	66.92587286667427	65.85966485514389	47.6322177403043	55.609349878112035	7.064611963167289	72.12212466569675
1098	79.63103107037037	80.5029895972482	72.54225965772716	73.99398027007771	75.3950775027598	69.12674772781439	73.83295475208452	75.47851993000755	75.41325814111516	66.09965574378441	61.707679095362025	4.5815320085396944	82.09715265986327
1099	70.6711648901898	65.81966872122248	56.577205356954586	64.7423547910615	62.59113149699803	59.77133013969754	59.03558583009806	66.91300030255411	80.60753242231722	70.55881180775486	66.99305210237017	5.856387446269844	75.94973718053365
1100	71.30259621062284	70.10918314767957	61.17479385273088	70.04224137821613	66.4580555145512	73.10310753086642	48.82453274281255	71.63534758612145	69.69145424646192	57.35816779310752	57.67999934258265	9.3783829250643e-2	74.79070966329651
