SB8	CF2	NG2	KO2	NMSD2	CB3	PP3	KO1	NMSD1	PP4	CB4	NG1	Ground-truth	MV
1.7231476163124641e-3	0.8678920160827159	0.6519241815048682	0.9345203905801389	0.9086731763354546	0.8742102240091822	0.8874210224009038	0.9437105112004747	0.9425617461229332	0.9086731763354242	0.8690407811602493	0.8248133256748832	0.8719126938541157	0.9999999999999816
1.8879761625997435e-3	0.6828193793756768	0.20578980504761343	0.8074260539958563	0.7281309032256218	0.8225298966380225	0.6192573909590194	0.6211453778237668	0.780365009818401	0.6903713030327066	0.8521082444025393	0.5418502204452645	0.3184392697744841	0.9999999959409686
6.896523811338923e-4	0.6645304371384795	0.4854054178707864	0.7331018841076234	0.9339412648831158	0.9561299522552548	2.4170173494606147e-2	0.15496083282016587	0.9443152004470201	0.8416368929175132	0.9436409614262232	3.3335920942956156e-2	0.929639385398506	0.996789598528593
4.589528118939764e-2	0.5578539107950672	0.3510019392370819	0.7362637362637654	0.7194570135745897	0.797672915319989	0.7071751777634563	0.7879767291532794	0.7356173238525461	0.53975436328371	0.7569489334195394	0.7498383968973131	0.7336780866193564	0.9999999999997501
2.8604346670797583e-2	0.5894858913978246	0.4947816610972385	0.6323927608735332	0.7452648949011155	0.6810980917912361	0.16119014379980304	0.1360648196361948	0.746037934531528	0.3683803684688729	0.6791653470661548	0.12833359077141263	0.5829148581935638	0.999999543342101
2.4981072758428677e-2	0.5768357284042531	0.19379257998268765	0.5533686602041521	0.5851627567859846	0.6222558690499493	0.47009840935400093	0.6237698722594768	0.5268735806473702	0.5677517030569743	0.4685844079500031	0.3959121866422719	0.6131718405470225	0.9999999973342238
2.16249612963134e-3	0.6611059633633479	0.5854185968378524	0.7803521822649772	0.682730922340165	0.7760271895453116	0.13561939669507006	0.29533518297330014	0.6459684868249996	0.5690454128254865	0.8316342328690897	5.900524744520958e-2	0.3172690793948428	0.9999999946282743
4.197698003882154e-2	0.7657413676816963	0.2735274200798724	0.7501692620900281	0.8293838867752136	0.8943805015800433	0.8063642512201386	0.7657413675754476	0.7867298583135116	0.6946513195598379	0.8185511178371303	0.700744752672403	0.592417061488862	0.9999999992721597
1.1940298507462754e-3	0.8304477611937812	0.7385074626857284	0.895522388058991	0.9188059701503726	0.9486567164187122	0.9146268656718843	0.8859701492535355	0.9510447761204875	0.8991044776121829	0.841194029851237	0.865074626864827	0.7367164179093021	0.9999999999987941
6.855895187088386e-2	0.34366812213741205	0.4310043667890117	0.6781659389657583	0.5074235806307031	0.6646288210380878	0.6034934498891735	0.6685589520855335	0.5026200871787112	0.43187772925458545	0.5925764192517635	0.6008733625423823	0.5558951965289042	0.9999999997535031
