"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1301	0.11587974774705304	90.10010318905199	86.01147174814278	92.7340477679418	91.13993150212121	94.86094678356804	92.94785946730109	93.22507712380799	93.32493779641442	93.5800374435812	93.36808931240384	86.61998377406796	98.04709936817937	83.97662714695603	93.09163036274	93.6663376139037
1302	9.481376361447993e-2	79.37232310884501	74.23215232626559	82.21161670290573	81.36349780333258	82.63622127354026	80.34116111464648	80.32514469217105	79.81602925458036	77.651016834967	81.36795870351149	73.43012166518334	93.5808684707364	71.65090041744665	83.70898576831877	84.72335172287573
1305	0.917500545570216	71.46853925312632	48.93568489968189	82.29151516391376	97.17333551730259	98.76159369927827	29.455269739910754	60.45279507805292	97.42084865618051	85.78665200950665	98.78012610238233	20.718620106400326	99.86206896551725	65.20845004040828	96.83948640446954	98.49473492164648
1306	5.6727144715927915	75.13732304046755	74.12427272049008	74.09110135329567	67.23386739759704	73.2734808196048	71.95814284875941	76.22581882756418	66.3095080585347	53.93801237581582	69.6636625591818	81.89964363029215	91.85520361990967	65.87141630190825	77.82298534537865	78.42429191304042
1309	16.028968360921585	47.97308640396202	46.74896767817407	52.06966981596081	60.834886772902365	71.092534416258	27.927646967811835	50.42597591237475	65.97725345271412	29.837899387803557	75.3132211240257	55.600355640072294	93.23540780827236	49.640237122096636	64.88881240930488	68.82866054474988
1310	2.5983765758256214	79.42712407358181	37.86525195230154	60.18867655354999	51.44184770263854	70.66344677515661	75.59220175187829	60.71657656465034	46.768948540077645	56.717305149466334	71.03117678758743	53.680895389510155	94.47388342165023	55.26393648381257	65.97165579575113	70.89174347211143
1311	2.5724316004751814e-2	90.54942431296816	90.62833463314124	92.44593410046609	91.89500499872966	90.9669330450771	79.31647297869748	90.39190491063258	92.35842098614008	91.04513580656729	91.34750860799005	89.0218258767855	93.7905468025944	82.21450772976567	91.17926373487765	91.61178532312739
1312	9.213667486313362	70.89703849263658	46.53951456193667	63.22635701365932	69.42105459517806	67.10357168227668	57.62412500276886	52.544986670568235	68.85090679040707	54.80190541104547	67.24715161635169	46.44529091006029	82.2613405551791	56.64738769347492	65.5049785358279	67.10784131419125
1313	8.367977309239691	72.3095751150831	66.94413372661148	70.68838318324427	71.94803727608368	72.31111893042663	72.86510020055536	70.79171362126984	72.25465318645479	72.72031368036072	71.65409311251072	69.00620052601626	80.35820895522401	65.90294555930775	74.15747565348127	74.88350052662909
1318	13.887247260091998	63.26272735098233	63.250369260553455	65.45515758944973	66.01121583307172	59.71029810673708	60.53436004377639	63.4216318301116	68.59318953402835	53.916080616250795	58.503325537121796	67.51799206638908	94.67248908296956	59.42158557308947	71.79319442529086	75.98589897510239
1319	18.7576917126805	43.94130521620608	45.20381200460123	55.83326370282013	59.68593380903956	75.09427317517319	54.79547517741362	60.68303665897309	65.21793310291072	50.172222173684546	76.27282318670193	60.68015242964964	89.81688253684685	55.85319631337312	66.73747346955206	71.02627691816626
1321	18.301570540183672	69.97097613990839	65.68722030906659	73.28377102965027	70.209808388364	76.93985541424955	64.82848237296702	71.73398097233434	73.00331066438396	71.60469234215319	74.22377878257367	62.72495232061374	86.13744075829428	66.87555810509369	74.45676866304976	75.62889836186932
1322	9.422306976461192e-2	57.647381563161105	22.358076496361623	59.70493142956626	67.72819934884375	26.288801311694566	50.75228177668354	49.88235963096365	56.069742448447734	54.67786835729685	56.36493618125604	35.246954366027026	86.06321839080455	44.15803253767369	66.58853569306568	69.61119462575752
1324	21.75935339654094	90.96018947880012	85.86496222465287	91.45156104924477	87.47799273328772	89.3688356988873	88.57715514166699	90.59811694394216	87.6009482439231	88.22243030112708	89.2034777851899	89.92688061439492	97.89562289562294	85.30547939257752	89.9780029934801	90.45251754354706
1327	5.923110876812494	26.418499978946663	29.92284236505478	62.733703716483355	89.53165488265901	53.52810116125741	59.30035078511293	34.70557526454941	68.96539173026174	57.06110177588596	83.49680262678993	36.9844452968488	97.90697674418605	50.06936070188408	74.1248227536123	80.16531302135004
1329	5.17606242338872	82.33361715101016	76.64004161364814	80.41255618941709	80.28082297693852	81.0546015971759	83.15105986306757	80.51653035105984	80.2658619132945	84.21224914835473	80.83953173144202	80.90621670799713	91.6974169741702	74.41413632609186	80.746807793936	81.08580666232244
1330	15.161607701810473	71.99636908314929	72.23215238078024	83.35624296911267	83.78014924453787	83.81679961546412	76.35940238939833	82.99961279787632	81.30932706377479	69.64449786318045	85.06973070311561	83.74377868056811	96.42497482376625	73.32397430425917	84.69856144969766	85.82496937352991
1331	1.9563031562941275	83.34956810797868	82.37340997947625	90.8004476202566	90.3896809171415	86.36103080628779	61.4915479711584	89.20512213075659	87.64928519039003	85.00707286651192	86.50510044188194	76.57844135136655	99.21935987509757	74.5564368674988	92.87778653538318	94.7168836868029
1332	0.927940386683693	85.07415721123299	83.50194801402495	89.73895337978479	89.80830536756181	87.25108952121225	88.01161774625483	91.20452120804222	90.20339193296185	86.98140821108065	88.16590590373498	91.3538466615586	98.4028048305415	81.51184484165894	91.0666744183796	91.56046662375115
1333	7.46783081292515e-2	91.89210580058949	87.9425008821448	93.58284345572177	92.164928961069	95.01776003416238	94.38099979051184	93.2264300600573	87.71512299699464	95.80161100467724	94.78928908836465	89.73910461888566	98.45288326300998	84.56542569584103	96.04343787891307	96.30083869015068
1334	4.515889635848292	91.0001847646491	91.0116005390815	94.41222955988029	94.42448272919684	94.58925396468477	87.80120955807459	94.11007490217446	95.01066377211434	90.56426605370868	94.94026849342748	90.08441920634999	97.31595092024526	85.22241699129545	95.430876446068	95.51773592864758
1335	9.090670278178992	60.61943558098232	63.41895689139845	68.45312503437488	70.1476792669799	74.10606496895643	69.72034124139299	65.7265551627684	67.03674250845279	67.37634878330446	75.55385721148046	69.07358154268802	90.96170970614422	63.59749341512916	75.12955063545587	76.94416740936266
1336	0.10260528191621188	78.50077383681004	74.19212623604216	78.06196219453761	82.24868163284508	81.98110649368394	87.10472035541304	76.85486122481531	82.75728053251656	85.77732338249977	80.9668860212247	80.8520852772202	95.95628415300558	75.79544733609124	82.83420677052467	83.46280989024191
1337	6.532036606385643	57.52938549215233	64.4118270553148	72.6873412714141	65.16113548803915	71.42417550691583	58.75046694443146	70.43451817693544	59.93545200467029	58.708378825014954	74.07368154545921	63.55166554198755	95.38131041890442	60.1880705378714	72.34598972950647	76.85657179590012
1339	13.508142419578906	84.29662848770256	76.65400883961773	85.84566851521123	86.56951451937155	87.22469151507374	86.2457180325252	84.9511635815753	87.54283431476541	87.63989751602546	88.73758083523632	81.98754506674472	95.02875924404269	79.6707798819598	90.21708862096445	90.67601192588681
1340	8.161902272630128	71.93424150101228	69.91380561385678	76.78671392088651	72.76744783450197	75.81518570282769	70.88047121390095	75.5545321810763	74.6484309708155	66.17798876934661	76.12637255187258	76.39709077857792	87.99694189602495	68.4028622015837	77.944809216257	78.81745129455994
1342	7.471555319270047	79.68592906678576	63.956301441127096	75.17211874863504	78.58335684456756	74.63333395421074	79.26609780714529	70.650449910532	74.80663701224155	75.41065639208433	81.88188353780369	71.76946996431222	95.16214779372656	69.58253441475215	79.5740459465797	80.8510491050564
1344	6.568490002991655	72.19599654683304	70.9027643626789	81.97448200496325	80.76313175947193	85.1094621522987	76.3263960444006	78.12328574348287	80.90801959925832	79.42480617223536	85.4051479686579	78.06208993607703	91.83098591549305	74.22192869763029	82.76041028091295	83.72969851675784
1345	16.639598430148606	67.2223713041081	76.21939538134393	84.34725147107345	91.45533948907342	94.75786062186783	67.711025250048	77.3642804597192	92.65370905429602	80.86125075490516	95.39453596940983	71.80622924235857	98.46972721224213	77.51030155609891	94.73573275364903	95.75348637617067
1346	10.339750833249163	71.25136637775128	68.62956432226008	80.23494009375563	76.90630819496887	84.83682964397356	75.73843405860842	78.80176557096995	75.80986158756153	81.05499952703954	86.18798875540257	70.12885948695228	94.42748091603093	72.51062316466822	83.13717963267655	84.23750799405303
1347	2.522398174253893	76.01909394018752	75.76409139652831	78.58766941486259	78.44324093247856	79.77213897101717	77.22873545573073	76.42335399117015	80.71235490011786	77.79183191255464	79.18834567647536	76.03653804857817	91.05090311986869	71.00780043540055	80.32646215199773	81.3484164913776
1350	5.798373035104514e-2	77.99617800196016	76.64103713425476	81.40423457922743	78.76962031493358	82.96501764239935	77.95407129880684	81.57468341617754	79.23106330898284	76.62269380613861	83.17186784639632	81.82618807466716	90.33735943356959	74.27929546359435	83.27898754806671	83.7345443122799
1353	12.661579104702206	6.426335033192081e-2	0.18684180054045263	1.7563462830852785	1.8341182799801472	1.8176355081895412	2.201853630605743	1.5724786077724915	1.8341182799801472	2.201853630605743	1.6337678328767438	0.18684180054045263	14.828431372548634	1.9379555688975398	1.7563462830852794	1.8176355081895417
1354	13.1303720302412	81.13200549609492	74.23965127428252	79.54374923260794	73.79854739600358	85.36581988033657	68.12521607435237	77.28516712207308	77.86851173370923	69.36960903485439	85.5936093135664	70.19461621981552	95.01743896362744	69.15903530395221	83.59836410458541	85.01980920567766
1355	5.6535044702565256e-2	86.77485366012944	56.47633648030931	85.7159217874552	90.89887689349197	75.7815708992112	65.5103865220675	91.98692259977074	90.23206052156438	60.71997360785792	69.60045418016963	81.66862804260015	98.21724709784418	69.62665994038608	90.83950192782807	92.63398885685545
1357	27.536557794195655	85.92985213982092	76.55947935045185	86.503504231627	91.36133821577795	88.83656124091051	79.31998872572898	85.6492649446247	91.36133821577795	75.50650620000486	90.73466733495754	84.91510257426404	93.89416553595719	80.57990204594451	90.55719444357383	90.76519236811288
1358	4.910072544997265	52.39789128078347	42.16809702460136	53.77087191967107	49.91356959961107	57.31482475223878	55.33551009719636	51.37638290267827	50.75583763404613	55.53533408639346	54.42966598002108	48.07955935622258	71.1139896373057	48.74029720229377	55.616838863509265	56.60695242024928
1359	0.8319683505905185	75.51081005876536	82.77044312186075	88.69418630318407	92.10910718924536	90.75118425669606	81.64021271248492	87.69029915894484	93.2807573026442	79.62553059513318	92.64123927592196	86.98859479012974	97.95673076923073	79.31794489480185	93.18302551933955	93.28358993842625
1360	15.40656238136011	71.09231883059034	69.30226648681047	72.6276947956029	73.95374652584366	77.46214990830103	76.76641448448713	74.09502228580814	72.7135500800974	71.67257562056596	75.36971608429134	71.94850025242303	87.57763975155257	69.4516491208277	76.12810647653563	78.01586992564218
1361	7.529298250921265e-2	78.27214406042735	70.85496392995562	86.03365878161891	83.16057165167992	83.75574530635669	83.4816095258256	81.04205840150168	85.10782031067679	83.9034325957794	84.53597168574589	75.92164404057267	92.47910863509759	74.76215018746835	85.90522781347183	86.69928570601098
1362	10.503851846689054	75.95821564377376	57.832179523532304	77.566849852405	76.33403218376846	74.76984424110405	76.08993953174469	75.3135943566734	75.65873012100577	76.13297858206674	77.14661588967611	58.06855939670641	93.16508937960083	65.68289845036934	77.65098907881575	78.64501445045082
1364	19.092506400785986	85.99214508069903	81.93518694133172	89.82335423973035	87.32611982237492	90.15223752402594	89.55291258669669	89.6556781968947	88.79056286050184	85.33051544169041	91.39876258542454	90.92101411179212	96.40771028037449	83.01291275357937	92.05528010417656	92.29110097998621
1366	6.447247464940528e-2	63.84916337317442	62.00305961722704	64.32277451728513	59.67714203083625	67.3660836749495	64.57736292382104	64.90936853373698	61.414398167461684	63.13252119922835	65.41316835283574	63.46193265950013	72.00938232994552	59.100303254270834	66.00946826076411	67.22142799340345
1367	18.06352660719991	2.8392197286738763	0.25845173129190313	77.11133749966798	5.404741949009537	4.802167284127374	2.8254970411889877	71.02504852221384	5.40474194900954	2.8254970411889877	4.802167284127374	0.25845173129190313	82.42787560884337	15.700601281708112	5.464272070547336	5.501743928417416
1368	6.5846673820137775	58.182813195589766	51.065971157099014	61.907776641837216	54.654437550163614	53.4362033395694	35.43399239320326	55.04470819738276	56.18520450505715	51.184253606734174	56.042774933488346	48.321845739274735	81.77759740259717	48.93480425493448	61.16433962531309	63.3171840550859
1369	0.7694486399615903	88.637173756539	86.33640168330065	92.32209319426265	92.97001056283212	94.78523798305613	90.20172282252481	90.56646000867792	93.30677765519935	91.96367453895466	93.39739810389484	89.21219543301802	98.92058596761763	83.96416058017905	95.27055884081402	95.87054345421713
1370	6.22927633329662	84.25939449483468	83.10269181387277	88.21968377362491	88.43094221520788	91.59387680151481	84.41153352233019	88.15480891865089	86.02111536472736	85.30937683029525	89.97483021952652	83.40101535424577	97.15555555555562	81.26472630120331	92.02102524795032	92.58087673099976
1371	9.564948503814765	3.297460387040494	0.5364504075527793	2.7050173095930345	3.2649440085395485	3.409445726829783	2.0331052708573525	2.4250539601198344	3.768878037591298	2.0331052708573525	3.705571163276214	0.5364504075527793	14.221724524076032	3.376929348328761	2.817002649382352	2.9615043676726094
1372	14.139886663985003	73.97061938726273	64.55566444216711	74.20830471415752	75.27477565968455	77.0487904776712	76.39436416079867	73.85061523706982	75.13327620270599	76.39436416079867	76.73680805057114	69.72343881781015	91.02749638205488	69.18090665810637	77.3593804868363	78.54850279572413
1373	11.21958715496834	48.97743944597146	28.713874785967462	57.805563026486254	59.53161623606113	60.5071072832467	47.957708457172295	58.664197316435384	59.176853958070176	42.64991106198442	60.05259880048701	45.48373291889277	88.45220766618182	47.957004462725656	62.13606697350615	66.37883406525496
1376	26.642755290898574	90.49133159937543	86.12767851324415	92.62278398976007	91.57187546144047	93.57923962745373	94.88213970046479	93.68331143307942	91.60384767900254	95.26725782898512	92.7668216182888	86.58925873693329	97.57890185905738	86.05131607867735	93.37693715516187	94.10285363907529
1377	9.001452390231517	89.6685411294877	67.12742135338786	90.68233368033887	92.34917590722225	89.92940155146373	67.86293446698228	91.15525784829687	88.66637737519862	67.91284203516916	91.41412363141161	86.05864189637224	99.2226148409894	77.69244192760519	92.80173998173416	93.43348834368958
1378	0.14275010313221542	70.45158984305075	64.51909824063436	87.11466801131293	73.6049860125926	80.1370636897615	63.99753712272046	74.78972573266492	71.3309311993881	62.60355258476758	82.83324818971369	64.3606552262862	96.99367088607589	67.41608676268783	80.0520501323173	80.96143611058774
1380	4.906200095557342e-2	92.59628982130361	91.20257048791849	94.19939208803285	92.56191870511866	95.04141058876351	93.9230445851113	94.38762016683422	93.12579355030607	93.92160321536814	95.17130015873066	94.50770472012387	98.7372708757638	85.67536556489159	95.9712861184371	96.14334498186558
1382	20.44438868915779	87.09204458332619	77.09694753679861	87.86571124668087	89.5599285757976	88.47729909720402	90.41663853377041	83.4846650370722	85.40421874578574	79.04046100611923	90.31690166407783	92.22267492267015	97.11321605773581	80.91483694806249	91.27246867861508	91.51032715419169
