"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1301	0.11664245415433593	78.18811359796165	59.334133055698345	82.82053795382984	88.4173416574129	78.8710924230747	90.4122786735012	90.69297881643233	85.63042189201515	88.57679973033547	76.21073409981167	84.62290144992349	98.03468208092502	74.60038723055477	87.08114233802688	87.64105760032584
1302	9.887315874184978e-2	35.064496242726115	67.6177768603445	36.84694470025383	29.989787053763944	25.861047410979438	2.713474270055646	5.147520591929377	34.39479321800647	12.741009373485399	34.842565669966646	0.29581563058961025	91.2015758371636	24.565972028165586	27.64277017410962	32.58957653878502
1305	6.663851721750676e-2	64.91410010193593	48.73326913424655	74.40812781147848	94.33505615096693	93.93129489551359	2.6096686082432945	14.78837980313462	94.90711366206689	85.39563503120824	95.02416010613113	3.911232507668754	100.0	56.329483351234956	94.08085513950965	95.35351765896934
1306	5.134506944193466	53.404283065509176	29.068880145292198	61.74810051006522	57.336889736547604	68.81657960251093	70.57449529515128	74.24795927801907	59.07047672343894	47.90565900405905	62.011776466769575	85.83939887270543	92.09431345353694	56.90310931185354	77.02801869561068	79.80556290832837
1309	6.551402063785418e-2	52.709379292465606	52.4263318363275	52.02076184995054	63.98556346950728	61.76985210569934	1.7244510009635852	1.4859507609226146	66.03698246486512	31.076227975795423	65.0976344978434	0.1420436740285052	90.61166429587507	37.143422673558305	65.45422130296971	68.27444267887623
1310	0.13223243883288102	43.38599323512799	16.038130812639338	44.90377545065331	37.717442602350694	46.52522681964062	55.890892689513315	55.66911596578172	28.45469292511404	49.6312582561265	36.83299288666882	33.599682654556176	94.43493150684924	38.30837990964252	55.37067536760388	63.35044643461636
1311	2.5724316004751814e-2	12.295970865952377	7.891032017318979e-2	43.25558453034476	12.498458782768946	22.73143337715342	8.890217138598436	21.49366083330045	18.401825025363593	0.8562722497808958	33.18358306644926	7.891032017318982e-2	58.38739573679184	15.715154200485523	24.86229224391289	31.50344616136224
1312	7.286344561786641	56.082313590679874	16.20708126636966	50.69374264445064	62.50397238338602	59.4122394782707	46.77021340368553	40.73374979396822	54.78575619216796	44.34093280719701	59.98368272094731	34.28679256408409	82.2613405551791	44.63507348736067	54.87030458983915	58.83828663100289
1313	8.653471127508496e-2	65.90052864961956	62.25388466008356	70.4231116345603	67.3217311301997	71.24994809816567	71.43219236266114	70.07505995512244	70.45311628147192	70.87710062871028	66.36307444040438	67.15484522180198	78.50746268656734	63.26324526052448	72.83259739843216	74.02282886011695
1318	5.113102560033553	30.770267875638034	28.920177778387256	54.671370760918045	47.96975907946505	53.48586699264914	46.60620312850696	46.399932783710376	47.00724410166153	35.847118825593775	49.0100404055076	52.09655205577577	93.83561643835627	41.13476134906098	57.966641521679975	66.00017457150787
1319	0.26241168618329314	62.9130173821605	77.4392518845026	68.25599771984847	59.50996023733103	75.52376514214497	1.6017300209495928	3.985311619834016	63.08139822018115	69.33302291564803	76.89985009017818	0.5755492723882603	95.95645412130658	46.38739992987369	71.26557346379144	74.8140328543429
