RANDOM SB8 = 5.2143912524869655e-2
RANDOM CF2 = 0.4921827902923723
RANDOM NG2 = 0.43057551262717025
RANDOM KO2 = 0.595604479090965
RANDOM NMSD2 = 0.5894217489972973
RANDOM CB3 = 0.5807667219849718
RANDOM PP3 = 0.49722157147131074
RANDOM KO1 = 0.5315238035906722
RANDOM NMSD1 = 0.580510598726498
RANDOM PP4 = 0.5077455056686989
RANDOM CB4 = 0.6021973384157888
RANDOM NG1 = 0.48061159941420306
RANDOM CELIING = 0.8398577188174472
RANDOM RANDOM = 0.49908311362815444
RANDOM MVOTE = 0.6222395365506714
RANDOM FUSION = 0.6558192496315918
