RANDOM SB8 = 9.155410400768287e-2
RANDOM CF2 = 0.7173875841694604
RANDOM NG2 = 0.6727197826083142
RANDOM KO2 = 0.7678092649305368
RANDOM NMSD2 = 0.7547910006996031
RANDOM CB3 = 0.7624412371443082
RANDOM PP3 = 0.7082384290261913
RANDOM KO1 = 0.7566460036173517
RANDOM NMSD1 = 0.753745439652279
RANDOM PP4 = 0.6983627013244478
RANDOM CB4 = 0.7663590624760582
RANDOM NG1 = 0.7101916155008399
RANDOM CELIING = 0.9089623501325956
RANDOM RANDOM = 0.6806797208170625
RANDOM MVOTE = 0.7867116069020078
RANDOM FUSION = 0.8004857431931433
