RANDOM SB8 = 6.57458987811716e-2
RANDOM CF2 = 0.6793293803639091
RANDOM NG2 = 0.6300090062241763
RANDOM KO2 = 0.7383908766525186
RANDOM NMSD2 = 0.7185267624961338
RANDOM CB3 = 0.7281900983436627
RANDOM PP3 = 0.6787201521584165
RANDOM KO1 = 0.7157734130494858
RANDOM NMSD1 = 0.7163734717677581
RANDOM PP4 = 0.6612995028381599
RANDOM CB4 = 0.7393322859490721
RANDOM NG1 = 0.6690726367949931
RANDOM CELIING = 0.8952068710165403
RANDOM RANDOM = 0.6455599673058651
RANDOM MVOTE = 0.7566139741940695
RANDOM FUSION = 0.7729958344136819
