"SB8"	"CF2"	"NG2"	"KO2"	"NMSD2"	"CB3"	"PP3"	"KO1"	"NMSD1"	"PP4"	"CB4"	"NG1"	"CELIING"	"RANDOM"	"MVOTE"	"FUSION"
1002	26.70608163433746	71.61382306990656	59.93565216407912	71.17750969047671	76.13987340250956	75.49529417732415	65.92263964711589	71.54576552159088	76.43217997140093	61.36962852437764	74.19904554869683	65.40036422720028	86.23464633629835	66.626592001799	76.15417631028872	76.63648953576589
1003	1.2607540029752393	66.83973216178867	63.78758783472078	66.46614065172814	72.88402731756088	66.28347133975267	62.412166934234214	62.28387031357621	70.41458950682336	63.25825872727366	68.00511165011271	70.74384601518649	84.67225234105435	61.15648345896933	71.27948395721688	73.28217260187654
1006	9.081409184313194e-2	86.310652513148	82.69114074256005	89.87115584164602	90.45670977022804	91.19638156244804	81.79285874780275	86.40411361500978	88.28930083273933	82.55508547582609	90.80060075441094	86.0593863564609	96.46556977452805	79.91667346924987	92.20213035625942	92.99915187400751
1007	17.01569915492517	92.71277123820622	87.7438074842337	94.62464334349609	94.17218574652475	94.66303491882162	90.25634434665056	94.28140931834595	94.40070204637622	90.388390988541	94.48059057888175	87.74380748423374	97.43589743589763	86.52948002796576	94.95886239010925	95.10651388149944
1009	0.10123507030722653	73.25766967136062	77.30406524725801	81.14499643501898	78.94183616093706	85.48138635618474	77.55571798347637	81.21809044859783	79.82832891897077	77.16080807829152	83.81767940531051	81.73398053594559	92.7302996670365	72.3808222683123	85.24152568866367	86.55048671426792
1011	4.4721274862595986e-2	91.45016627172971	83.31371208606826	92.66799732309867	90.90066983247165	95.1784983689899	92.87703595275988	93.629264060245	91.69835022257963	93.03514799355366	95.1784983689899	84.63258009806006	96.95531830763167	83.67604919089261	95.104686438171	95.52277564409167
1012	4.021939424393213	58.18651618775754	55.08043618178887	66.31041358347116	62.548631907621456	64.62184542939886	58.55835297171641	68.73581904592781	66.13973319645653	44.204224326901596	64.22745899625286	73.84188963857662	94.82269503546063	55.86924066245551	70.61969256368599	73.46553891009972
1013	8.516466275213563	50.5032746359387	55.6789690927723	55.733456589015915	61.81297660300523	66.76161184101717	57.444851038889425	55.55484456581715	64.12936596552483	55.79334122395696	60.47252176540451	55.58193273615699	93.1287219422813	53.84342222664999	65.18162843167842	69.14964157026002
1014	2.783649993979345	64.00012765870758	81.47836552584256	39.77587986311995	68.48114088168167	80.59128656594504	57.69624228122455	90.88698991243173	68.95555332862241	73.44716283798589	80.97425598395913	81.75841111051743	97.26027397260279	67.63387121028846	80.436301673871	83.80990129656192
1016	7.138555570618582	66.88987138708306	62.14786030946967	75.838000679877	86.03889986510704	74.12394337198187	70.04018352006568	71.47328247919617	81.59786541639744	65.66079683481526	81.04406762679541	41.944043883208195	94.80220791168358	65.58628801861502	79.35585225638	81.24201801656612
